Region,Group,Male (5+ yrs),Female (5+ yrs),Total (5+ yrs),Male (15+ yrs),Female (15+ yrs),Total (15+ yrs)
Kathmandu Valley Urban (KVU),Urban/Rural,94.7,84.4,89.6,94.2,82.3,88.2
Urban Regions (Except KVU),Urban/Rural,86.1,70.7,77.8,83.4,65.9,73.1
Rural Regions,Urban/Rural,81.7,65.3,72.1,76.7,55.9,65.0
