Region,Group,Male (5+ yrs),Female (5+ yrs),Total (5+ yrs),Male (15+ yrs),Female (15+ yrs),Total (15+ yrs)
Nepal,National,85.8,70.1,77.4,82.9,64.1,72.5
Koshi,Province,87.0,70.4,78.2,84.6,64.9,73.9
Madhesh,Province,77.9,59.9,68.0,73.1,50.2,60.6
Bagmati,Province,89.4,76.8,81.0,87.8,73.2,80.2
Gandaki,Province,91.3,76.6,83.4,89.3,72.0,79.6
Lumbini,Province,87.4,74.2,80.1,84.1,68.7,75.3
Karnali,Province,86.6,68.9,76.6,82.0,61.3,69.7
Sudurpaschim,Province,85.0,65.0,71.5,81.5,57.0,66.7
