Province,Male,Female,Total
Koshi,95.9,96.8,96.3
Madhesh,92.0,91.4,91.7
Bagmati,98.4,99.0,98.7
Gandaki,98.7,100.0,99.3
Lumbini,98.1,96.7,97.4
Karnali,98.1,97.2,97.7
Sudurpaschim,97.7,99.4,98.6
